SpeciesLookUpID,Species,Common.Name,Family.Name,Classification.Code
1,AS,American shad,Clupeidae,"(i,a)"
2,BB,brown bullhead,Ictaluridae,"(i,r)"
3,BCR,black crappie,Centrarchidae,"(i,r)"
4,BG,bluegill,Centrarchidae,"(i,r)"
5,CCF,channel catfish,Ictaluridae,"(i,r)"
6,CP,common carp,Cyprinidae,"(i,r)"
7,GF,goldfish,Cyprinidae,"(i,r)"
8,GMB,mosquitofish,Poecilidae,"(i,r)"
9,GSF,green sunfish,Centrarchidae,"(i,r)"
10,GSH,golden shiner,Cyprinidae,"(i,r)"
11,LMB,largemouth bass,Centrarchidae,"(i,r)"
12,LMP,pacific lamprey,Petromyzontidae,"(n,a)"
13,LP,bigscale logperch,Percidae,"(i,r)"
14,MSS,inland silverside,Atherinidae,"(i,r)"
15,PSC,prickly sculpin,Cottidae,"(n,fwe)"
16,RSF,redear sunfish,Centrarchidae,"(i,r)"
17,SB,striped bass,Percichthyidae,"(i,a)"
18,SBF,Sacramento blackfish,Cyprinidae,"(n,fwe)"
19,SH,hitch,Cyprinidae,"(n,r)"
20,SMB,smallmouth bass,Centrarchidae,"(i,r)"
21,SQ,Sacramento pikeminnow,Cyprinidae,"(n,fwe)"
22,SSG,shimofuri goby,Gobiidae,"(i,r)"
23,ST,splittail,Cyprinidae,"(n,fwe)"
24,TFS,threadfin shad,Clupeidae,"(i,fwe)"
25,TP,tule perch,Embiotocidae,"(n,r)"
26,WC,white catfish,Ictaluridae,"(i,r)"
27,WM,warmouth,Centrarchidae,"(i,r)"
28,WSU,Sacramento sucker,Catostomidae,"(n,fwe)"
29,YFG,yellowfin goby,Gobiidae,"(i,fwe)"
30,WCR,white crappie,Centrarchidae,"(i,r)"
31,DS,delta smelt,Osmeridae,"(n,fwe)"
32,KS,chinook salmon,Salmonidae,"(n,a)"
33,RCH,California roach,Cyprinidae,"(n,fwe)"
34,RKF,rainwater killifish,Cyprinodontidae,"(i,me)"
35,RLP,river lamprey,Petromyzontidae,"(n,fwe)"
36,RSC,riffle sculpin,Cottidae,"(n,fwe)"
37,RSH,red shiner,Cyprinidae,"(i,r)"
38,STH,steelhead rainbow trout,Salmonidae,"(n,a)"
39,TSS,threespine stickleback,Gasterosteidae,"(n,fwe)"
40,BLB,black bullhead,Ictaluridae,"(i,r)"
41,SPB,spotted bass,Centrarchidae,"(i,r)"
42,HH,hardhead,Cyprinidae,"(n,fwe)"
43,SSC,staghorn sculpin,Cottidae,"(n,me)"
44,LFS,longfin smelt,Osmeridae,"(n,fwe)"
45,REB,redeye bass,Centrarchidae,"(i,r)"
